"Gene.names","HK2_01","HK2_02"
"a1bg",46.58,77.68
"a1cf",0,0.02
"a2m",0,0.09
"a2ml1",0.08,0.23
"a3galt2",0,0.37
"a4galt",21.35,45.91
"a4gnt",0,0
"aaas",75.6,93.68
"aacs",29.65,30.77
"aadac",0,0
"aadacl3",0,0.02
"aadacl4",0,0.03
"aadat",8.86,11.01
"aagab",49.26,51.21
"aak1",17.93,27.21
"aamdc",89.63,87.82
"aamp",175.31,183.13
"aanat",0,0.05
"aar2",38.31,42.06
"aard",1.2,2.01
"aars",75.41,81.89
"aars2",12.7,10.63
"aarsd1",48.87,52.24
"aasdh",14.54,20.54
"aasdhppt",27.34,24.91
"aass",5.62,9.09
"aatk",0.25,0.28
"abat",1.6,0.8
"abca1",8.47,11.09
"abca12",1.18,1.44
"abca13",0,0.04
"abca2",8.56,4.23
"abca3",4.51,6.31
"abca4",0.17,0.1
"abca5",0.86,2.18
"abca6",0,0.06
"abca7",12.66,15.32
"abca9",0,0.02
"abcb10",15.27,14.6
"abcb11",0,0
"abcb4",0.85,0.97
"abcb5",0,0.01
"abcb6",70.62,26.49
"abcb7",14.54,14
"abcb8",48.73,49.94
"abcb9",4.17,4
"abcc1",3.25,5.76
"abcc10",7.37,7.44
"abcc12",0,0.01
"abcc2",0.35,0.19
"abcc3",18.29,33.4
"abcc4",19.5,21.72
"abcc5",19.07,22.79
"abcc6",5.68,7.45
"abcc8",0,0.11
"abcc9",0.03,0.08
"abcd1",4.41,6.09
"abcd2",0.04,0.01
"abcd3",50.81,35.02
"abcd4",28.63,38.92
"abce1",80.26,55.05
"abcf2",49.64,51.29
"abcf3",80.89,79.49
"abcg1",0,0.05
"abcg2",0.88,0.88
"abcg4",0,0.11
"abcg5",0.01,0
"abcg8",0,0.03
"abhd1",0.9,3.03
"abhd10",59.05,48.72
"abhd11",27.82,44.15
"abhd12",232.27,214.62
"abhd12b",1.11,0.54
"abhd13",3.48,3.65
"abhd14a",33.55,48.35
"abhd14b",59.06,77.01
"abhd15",9.7,10.57
"abhd16b",0.72,0.44
"abhd17a",22.17,27.09
"abhd17b",6.65,6.65
"abhd17c",3.8,4.74
"abhd18",5.52,6.16
"abhd2",11.48,24.94
"abhd3",22.67,32.98
"abhd4",28.9,34.94
"abhd5",16.14,22.64
"abhd6",8.26,11.22
"abhd8",15.85,23.4
"abi1",34.67,33.09
"abi2",44.12,57.24
"abi3",0.83,0.85
"abi3bp",3.01,3.44
"abitram",42.45,35.84
"abl1",19.76,14.78
"abl2",5.51,6.94
"ablim1",18.55,23.04
"ablim2",0.04,0.73
"ablim3",25.59,11.12
"abra",0.08,0.2
"abracl",140.85,153.72
"abraxas1",4.16,4.77
"abraxas2",14.62,13.96
"abt1",33.16,32.84
"abtb1",27.65,55.15
"abtb2",5.31,3.74
"acaa2",126.07,102.24
"acacb",2.31,2.47
"acad10",16.11,20.82
"acad11",47.69,51.57
"acad8",17.92,25.64
"acad9",64.54,75.92
"acadl",0,0.13
"acadm",59.61,75.93
"acads",30.95,39.48
"acadsb",8.91,7.09
"acadvl",1224.13,670.4
"acan",0,0.23
"acap1",6.55,10.78
"acap2",21.85,38.11
"acap3",13.83,14.65
"acat1",134.87,127.83
"acat2",134.22,122.16
"acbd3",41.41,30.14
"acbd4",12.88,22.22
"acbd5",19.28,16.13
"acbd6",79.84,87.69
"acbd7",0.87,1.06
"accs",1.08,3.79
"accsl",0,0
"acd",96.85,116.37
"ace",0.47,1.53
"ace2",0.03,0
"acer1",0,0
"acer2",0.36,0.17
"acer3",17.84,17.02
"ache",5.28,4.66
"acin1",6.36,14.41
"ackr1",0,0.02
"ackr2",0.07,0.28
"ackr3",0.08,0.21
"ackr4",0.02,0.05
"acly",235.38,123.88
"acmsd",35.33,37.18
"aco1",53.93,73.09
"aco2",122.23,122.68
"acod1",0,0
"acot1",1.61,2.78
"acot11",1.83,2.35
"acot12",0,0.16
"acot13",30.31,41.63
"acot2",19.56,26.46
"acot4",0.03,0.05
"acot6",0.2,0.11
"acot7",137.73,189.99
"acot8",68.18,78.08
"acot9",91.89,89.09
"acox1",11.02,12.68
"acox2",1.22,2.22
"acox3",15.78,18
"acoxl",0,0.14
"acp1",226.48,199.36
"acp2",21.26,28.71
"acp4",0,0
"acp5",3.27,35.58
"acp6",7.97,10.88
"acp7",0,0.18
"acpp",0,0.12
"acr",0,0.07
"acrbp",0,0.08
"acrv1",0.02,0.38
"acsbg1",0.02,0.2
"acsbg2",0,0.16
"acsf2",27.77,38.2
"acsf3",17.17,23.11
"acsl1",47.08,42.7
"acsl3",46.03,49.59
"acsl4",117.52,64.85
"acsl5",9.82,6.08
"acsl6",0.02,0.28
"acsm1",0,0.06
"acsm3",2.46,8.42
"acsm4",0,0
"acsm5",0,0.33
"acss1",2.04,4.28
"acss2",32.2,41.48
"acss3",1.08,2.34
"acta1",0,0.04
"acta2",1.23,4.76
"actb",12407.28,11658.73
"actbl2",1.51,2.27
"actc1",2.32,0.4
"actg1",4599.97,3898.31
"actg2",0.51,0.03
"actl10",1.55,3.53
"actl6a",266.51,249.53
"actl6b",0,0
"actl7a",0,0.06
"actl7b",0,0.04
"actl9",0,0.07
"actn1",422.06,381.71
"actn2",1.76,0.73
"actn3",0,0
"actn4",24.9,44.69
"actr10",127.05,90.43
"actr1a",147.4,129.98
"actr1b",13.76,15.23
"actr2",112.12,115.78
"actr3",487.25,391.63
"actr3b",5.05,9.52
"actr5",14.08,17.33
"actr6",42.35,30.89
"actr8",21.43,18.96
"actrt1",0,0.06
"actrt2",0,0.03
"actrt3",1.57,3.1
"acvr1",9.57,13.23
"acvr1b",3.87,10.82
"acvr1c",0.02,0.03
"acvr2a",3.29,3.04
"acvr2b",1.11,2.33
"acvrl1",1.21,1.73
"acy1",195.18,196.47
"acy3",0,0
"acyp1",37.43,24.54
"acyp2",8.49,12.63
