"Abbreviation","Celltypes"
"ATL","Ascending Thin Limb Cell"
"B","B Cell"
"CCD_PC","Cortical Collecting Duct Principal Cell"
"CNT","Connecting Tubule Cell"
"CNT_IC_A","Connecting Tubule Intercalated Cell Type A"
"CNT_PC","Connecting Tubule Principal Cell"
"C_TAL","Cortical Thick Ascending Limb Cell"
"DCT1","Distal Convoluted Tubule Cell Type 1"
"DCT2","Distal Convoluted Tubule Cell Type 2"
"DTL1","Descending Thin Limb Cell Type 1"
"EC_AEA","Afferent / Efferent Arteriole Endothelial Cell"
"EC_AVR","Ascending Vasa Recta Endothelial Cell"
"EC_GC","Glomerular Capillary Endothelial Cell"
"EC_LYM","Lymphatic Endothelial Cell"
"EC_PTC","Peritubular Capillary Endothelial Cell"
"FIB","Fibroblast"
"IC_A","Intercalated Cell Type A Of Collecting Duct"
"IC_B","Intercalated Cell Type B Of Collecting Duct"
"IMCD","Inner Medullary Collecting Duct Cell"
"MAC-M2","M2 Macrophage"
"MAST","Mast Cell"
"MC","Mesangial Cell"
"MDC","Monocyte-Derived Cell"
"MON","Monocyte"
"M_TAL","Medullary Thick Ascending Limb Cell"
"MYOF","Myofibroblast"
"ncMON","Non-Classical Monocyte"
"NKT","Natural Killer T Cell"
"NK1","Natural Killer Cell"
"PC","Principal Cell Of Collecting Duct"
"PEC","Parietal Epithelial Cell"
"PL","Plasma Cell"
"POD","Podocyte"
"PT_S1_S2","Proximal Tubule Epithelial Cell Segment 1 And 2"
"PT_S3","Proximal Tubule Epithelial Cell Segment 3"
"REN","Renin-Positive Juxtaglomerular Granular Cell"
"T","T Cell"
"T_CYT","Cytotoxic T Cell"
"VSMC","Vascular Smooth Muscle Cell"
"VSMC-P","Vascular Smooth Muscle Cell / Pericyte"
