"Abbreviation","Celltypes"
"ATL_IM","Upper LOH Thin Ascending Limb Of Inner Medulla Of Juxtamedullary Nephron"
"B_lymphocytes","B Lymphocytes"
"CNT","Nephron Connecting Tubule"
"DCT","Distal Convoluted Tubule"
"Deep_IMCD_2","Cell Of Deep Inner Medullary Collecting Duct Type 2"
"DTL_IM_lower","Lower LOH Thin Descending Limb Of Inner Medulla Of Juxtamedullary Nephron"
"DTL_IM_upper","Upper LOH Thin Descending Limb Of Inner Medulla Of Juxtamedullary Nephron"
"DTL_OM_cortex","LOH Thin Descending Limb Of Inner Stripe Of Outer Medulla Of Cortical Nephron"
"DTL_OM_juxtmed","LOH Thin Descending Limb Of Inner Stripe Of Outer Medulla Of Juxtamedullary Nephron"
"Fibroblast","Fibroblast"
"IC_non_A_B","Intercalated Type Non-A Non-B Cell Of Nephron Connecting Tubule"
"ICA_CCD","Intercalated Type A Cell Of Nephron Connecting Tubule And Cortical Collecting Duct"
"ICA_IMCD","Intercalated Type A Cell Of Inner Medullary Collecting Duct"
"ICA_OMCD","Intercalated Type A Cell Of Outer Medullary Collecting Duct"
"ICB_CCD","Intercalated Type B Cell Of Cortical Collecting Duct"
"LOH_IM_1","Lower LOH Thin Limb Of Inner Medulla Of Juxtamedullary Nephron"
"LOH_IM_2","Lower LOH Thin Limb Of Inner Medulla Of Juxtamedullary Nephron"
"Macrophages","Macrophages"
"MD","Macula Densa"
"NK_myeloid","Myeloid Natural Killer Cell"
"PC_CCD","Principal-Like Cell Of Cortical Collecting Duct"
"PC_CNT","Principal-Like Cell Of Nephron Connecting Tubule"
"PC_deep_IMCD_1","Principal-Like Cell Of Deep Inner Medullary Collecting Duct Type 1"
"PC_IMCD_1","Principal Cell Of Inner Medullary Collecting Duct Type 1"
"PC_IMCD_2","Principal Cell Of Inner Medullary Collecting Duct Type 2"
"PC_OMCD","Principal Cell Of Outer Medullary Collecting Duct"
"PE","Parietal Epithelium"
"Pelvic_epithelium","Deep Medullary Epithelium Of Pelvis"
"POD","Podocytes (Visceral Epithelium)"
"PT_S1_f","Segment 1 Of Proximal Tubule - Female"
"PT_S1_m","Segment 1 Of Proximal Tubule - Male"
"PT_S2_f","Segment 2 Of Proximal Tubule - Female"
"PT_S2_m","Segment 2 Of Proximal Tubule - Male"
"PT_S3_f","Segment 3 Of Proximal Tubule - Female"
"PT_S3_m","Segment 3 Of Proximal Tubule - Male"
"T_lymphocytes","T Lymphocytes"
"TAL_OM_inner_stripe","Distal Straight Tubule Of Inner Stripe Of Outer Medulla (Syn: Thick Ascending Limb Of LOH)"
"TAL_OM_outer_stripe_cort","Distal Straight Tubule Of Outer Stripe Of Outer Medulla And Cortex (Syn: Thick Ascending Limb Of LOH)"
"Vascular","Vascular Cell"
"VSMC","Vascular Smooth Muscle Cell"
