"Abbreviation","Celltypes"
"AEA.DVR","Endothelial Cell Of Afferent/Efferent Arterioles And Descending Vasa Recta"
"AVR","Endothelial Cell Of Ascending Vasa Recta"
"Bcell","B Cell"
"CNT","Connecting Tubule Epithelial Cell"
"DCT","Distal Convoluted Tubule Epithelial Cell"
"DL","Descending Limb Epithelial Cell"
"GC","Glomerular Capillary Endothelial Cell"
"IC.A","Intercalated Celltype A Of Collecting Duct"
"IC.B","Intercalated Celltype B Of Collecting Duct"
"IC.PC","Cell With Marker For Intercalated Cells And Principle Cells Of Collecting Duct"
"Macro","Macrophage"
"Mesangial","Mesangial Epithelial Cell"
"Mono","Monocyte"
"Nkcell","Natural Killer Cell"
"Peri","Pericyte"
"PC","Principal Cell Of Collecting Duct"
"Podo","Podocyte"
"PT.A","Proximal Tubule Cell, Common"
"PT.B","Proximal Tubule Cell, Rare"
"PT.C","Proximal Tubule Cell, Rare"
"tAL","Thin Ascending Limb Epithelial Cell"
"TAL","Thick Ascending Limb Epithelial Cell"
"Tcell","T Cell"
"vSMC","Vascular Smooth Muscle Cell"
