"Gene.names","mIMCD_1","mIMCD_2","mIMCD_3","mIMCD_4"
"GNAI3",3736.84,3612,3739.19,3665.44
"PBSN",0,0,0,0
"CDC45",1423.85,1391.87,1346.63,1388.65
"H19",41.74,19.69,40.64,43.36
"SCML2",0,0,0,0
"APOH",0.51,0,0,0.29
"NARF",927.04,894.91,906.31,955.34
"CAV2",1889.93,1917.79,1947.01,1895.75
"KLF6",1795.95,1863.51,1821.85,1720.3
"SCMH1",274.78,269.43,264.29,267.62
"COX5A",641.5,647.14,665.21,710.4
"TBX2",2.3,1.12,0.75,0.57
"TBX4",0,0,0,0
"ZFY2",0,0,0,0
"NGFR",0.26,0,0,0.29
"WNT3",0,0,0,0
"WNT9A",226.13,201.65,190.99,218.81
"FER",294.76,289.96,299.69,344.58
"XPO6",729.34,741.92,761.95,725.05
"TFE3",495.02,504.27,509.88,506.53
"AXIN2",0.51,0.56,0.5,0.86
"BRAT1",364.41,370.68,373.99,354.63
"GNA12",1287.26,1171.57,1239.66,1322.35
"SLC22A18",1.02,1.12,0.75,2.58
"ITGB2L",0.26,0,0.75,0.86
"IGSF5",634.42,627.73,585.51,625.79
"PIH1D2",34.06,35.16,31.17,33.88
"DLAT",737.53,726.45,728.79,756.06
"SDHD",1097.08,1078.85,1017.51,1057.28
"FGF23",0,0,0,0
"FGF6",0,0,0,0
"CCND2",0,0,0,0.86
"GPR107",1034.6,1018.65,1041.95,1002.14
"NALCN",0,0,0,0.29
"BTBD17",0,0,0,0
"SLFN4",0,0,0,0
"TH",0,0,0,0
"INS2",0,0,0,0
"SCNN1G",91.17,83.25,96.24,88.73
"DRP2",3.33,1.12,2.99,3.45
"TSPAN32",0,0,0,0
"LHX2",12.55,10.12,14.46,10.05
"CLEC2G",0,0,0,0
"GMPR",112.17,111.37,110.45,105.1
"GLRA1",0,0,0,0
"MID2",232.27,239.34,239.61,216.22
"TRIM25",1121.16,1177.84,1191.54,1104.08
"DGKE",190.53,194.06,198.47,190.67
"SCPEP1",1999.79,1826.39,1888.92,1960.36
"MNT",723.19,687.36,712.33,712.13
"ITGB2",0.51,0.84,1.5,1.72
"HDDC2",179.26,172.4,180.27,198.42
"TPD52L1",115.24,108.28,105.47,108.54
"PEMT",22.79,16.87,21.94,26.42
"CDH1",2810.31,2744.08,2774.54,2719.29
"CDH4",0,0,0,0
"CKMT1",3.07,5.06,2.24,1.72
"BCL6B",0,0.28,1,0.57
"CLEC10A",0,0,0,0
"ALOX12",0.26,0,0.5,0.29
"COMT",2079.18,2055,2130.52,2084.69
"RTCA",710.26,694.24,712.25,716.67
"DBT",417.17,414.55,424.86,385.06
"DAZAP2",2523.75,2658.3,2643.14,2638.89
"MCTS1",59.16,55.69,54.85,70.06
"REM1",0,0,0,0
"RNF17",0,0,0,0
"TRAPPC10",1339.09,1364.59,1418.93,1343.85
"CCM2",690.93,698.61,688.65,687.72
"WAP",0,0,0,0
"TBRG4",535.48,565.3,539.05,579.75
"TMPRSS2",915,933.73,913.04,908.25
"MX1",0.26,0,0,0
"FAP",0,0,0.25,0.29
"GCG",0,0,0,0
"NDUFA9",894.26,871.29,847.72,879.25
"EGFL6",0,0,0,0
"LCK",88.09,89.72,85.02,89.59
"TSSK3",0.26,0.28,0,0.86
"CTTNBP2",0.26,0.28,0.5,1.15
"GALNT1",1097.59,1135.09,1086.83,1098.91
"MYF5",0,0,0,0
"MKRN2",343.83,340.73,350.83,359.28
"PPARG",0,0,0,0
"RAF1",1602.18,1669.6,1647.04,1688.94
"SEPTIN1",5.38,4.5,5.24,7.75
"PDGFB",1783.4,1726.27,1798.41,1807.02
"ACVRL1",0.51,1.12,1.99,1.15
"TAMALIN",72.47,72.28,79.29,74.08
"ACVR1B",833.31,843.73,817.3,818.94
"TOM1L2",1257.91,1368.25,1371.06,1319.67
"GPA33",2.3,2.53,2.24,1.15
"ZFP385A",407.69,410.05,418.62,426.99
"ITGA5",250.45,251.71,268.28,240.34
"GABRA2",0,0,0,0
"WDR77",1296.41,1279.77,1281.29,1343.69
"ADORA3",0,0,0,0
"ATP5PB",2988.81,2940.67,2863.55,2987.2
"SOX9",256.86,255.37,254.07,247.23
"HNRNPD",3356.54,3213.35,3408.37,3448.52
"DYNLT1C",134.33,140.77,124.06,128.85
"C1D",497.84,524.52,498.16,478.67
"GM2A",303.46,288.27,328.37,299.49
"KRIT1",637.66,669.64,641.03,632.87
"CLCN4",526.77,548.42,527.08,523.18
"VMN2R88",0,0,0,0
"GRM6",0,0,0,0
"SEMA4F",65.56,64.12,62.58,70.06
"HK2",376.45,288.55,370.25,324.76
"MYO18A",1481.47,1502.96,1531.13,1481.68
"SEZ6",0,0,0,0
"HAAO",0,0,0,0.29
"CD52",0,0,0,0
"ABHD15",17.39,27.65,19.81,14.36
"HOXB6",398.99,440.14,435.83,424.12
"LOXL3",64.33,72.52,67.98,70.43
"TCL1B5",0,0,0,0
"BTN1A1",6.66,3.94,3.74,4.31
"KAT2B",617.43,651.92,653.74,599.56
"RAB5B",2006.43,2085.97,1980.66,1976.71
"CRYBA1",0,0,0,0
"DNMT3L",0,0,0,0
"AIRE",0,0,0.25,0.57
"ICOSL",267.1,294.74,274.26,267.33
"SPG7",944.2,927.54,950.94,1003.01
"SULT5A1",0,0,0,0
"RPL13",11626.13,11094.84,10929.96,11443.6
"CHMP1A",1221.8,1161.53,1118.49,1142.85
"RPA1",3111.22,3160.04,3047.05,3165.51
"SERPINF1",2.82,0,1,0.57
"TUBGCP3",1054.32,1061.69,1061.39,1070.49
"OPRM1",0,0,0,0
"POLR3D",247.64,225.28,241.1,248.67
"TCF7",128.56,149.62,150.84,143.86
"DDX3X",2782.66,2885.55,2964.77,2799.4
"IL12RB1",0.51,1.12,0.75,2.3
"SLC5A5",1.02,2.25,1.5,0.86
"KCNN3",0.26,0,0,0
"USP32",870.19,895.48,923.02,884.13
"CAR4",0,0,0,0
"TXNRD3",236.63,258.46,246.34,242.64
"FASL",0,0,0,0
"ZFP512B",433.05,487.39,502.65,479.82
"DNAJC5",3043.1,3156.67,3127.59,3095.74
"TPD52L2",1053.55,1073.22,1005.05,1041.77
"FMR1",816.92,899.13,869.66,835.89
"BCL11A",0,0,0.25,0
"IL4",0,0,0,0
"PXMP4",212.04,208.68,185.75,201.29
"DLG3",250.2,233.15,247.58,263.31
"GNB1L",352.89,331.02,337.59,354.34
"DBH",0,0,0,0
"MMP11",524.73,544.2,508.63,531.51
"SMARCB1",1246.64,1257.44,1284.05,1168.12
"VPREB3",0,0,0,0
"HIP1R",2019.18,2084.07,2030.32,2108.27
"NSUN5",349.01,353.61,341.45,392.59
"TOP1MT",205.64,195.46,216.92,202.15
"HOXA10",808.73,828.26,797.6,778.17
"HOXA4",50.45,56.81,53.61,48.82
"GM38393",12.83,17.45,13.21,16.96
"MMP14",0,0,0,0
"SLC7A7",5.12,5.34,6.73,3.45
"OXA1L",372.61,346.21,376.74,376.74
"HEATR6",490.67,494.14,500.65,473.79
"CCL3",0,0.28,0,0
"WFDC18",0,0,0,0
"ICAM4",0,0,0,0.29
"ILF2",1651.21,1677.11,1659.31,1752.17
"CHTOP",2822.86,2815.8,2858.06,2808.3
"SNAPIN",456.91,449.36,468.22,471.22
"S100A4",14.08,14.91,13.85,15.79
"S100A3",79.13,74.25,72.8,66.04
"S100A5",0,0,0,0
"S100A6",6557.91,6990.85,6975.48,6912.79
"SCN4A",0.51,0.28,1,0
"ICAM2",0,0,0,0
"MAPK7",526.01,534.36,538.3,534.09
"EPN2",848.93,882.82,882.38,846.8
"B9D1",241.75,216.56,186.75,214.79
"SEC24B",1374.17,1389.9,1391.26,1419.08
"N4BP3",847.65,815.6,768.18,863.74
"RMND5B",784.14,800.98,797.11,845.08
"NHP2",1239.72,1188.25,1105.28,1223.54
"VPS9D1",327.79,363.37,350.81,344.86
"ZFP276",384.05,395.7,394,393.34
"C1QL4",3.07,2.81,3.74,2.87
"MFSD10",895.03,932.6,903.07,901.93
"LUZP1",1004.63,950.88,1038.46,959.65
"SLC13A2",0.77,0.84,0.25,1.44
"KCTD10",1786.35,1833.35,1813.23,1854.96
"POLDIP2",747.27,745.29,773.67,773
"SEBOX",0,0.28,0,0.29
"IFT20",267.87,272.52,241.1,259.01
"COL6A1",34.57,29.25,40.39,35.03
"PCBP3",293.73,273.09,271.77,274.8
"LGALS9",327.54,309.37,327.12,327.92
"ARAF",622.81,638.14,610.11,643.5
"CFP",16.9,16.59,12.72,12.63
"TIMP1",85.02,94.5,93.25,87.01
"UXT",95.26,84.09,87.27,95.05
"CNNM3",380.8,384.74,399.18,401.15
"LMAN2L",580.04,575.98,600.14,577.17
"MCM3AP",925.5,948.63,981.11,896.19
"PCNT",872.24,882.82,936.73,834.74
"FTCD",0,0,0,0
"MXD1",200.01,208.96,188.24,193.82
"GMCL1",606.67,594.83,585.92,605.59
"SNRNP27",558.02,570.64,545.53,611.34
"OAS1C",39.18,49.5,38.9,43.93
"OAS1H",0,0,0,0
"OCRL",227.92,235.12,232.37,215.93
"CALM1",4171.42,3976.36,3966.34,4170.04
"AGPAT3",2258.44,2330.09,2366.13,2370.69
"SLC26A3",0,0,0,0
"SEMA6B",1.28,1.12,0,0.86
"UHRF1",3813.92,3788.62,3738.94,3819.64
"DPP9",760.84,801.54,815.06,777.31
"RAMP2",20.36,18.53,17.95,20.29
"LSR",1728.62,1737.11,1808.27,1787.76
"GRAMD1A",348.28,361.12,339.59,342.57
"HPN",23.3,24.75,26.93,29.58
"GABRG1",0,0,0,0
"CKB",82.46,79.59,83.03,63.17
"SP1",1754.97,1848.04,1840.05,1686.99
"ITGB7",3.07,3.09,2.24,0.86
"MYG1",895.8,914.04,814.81,883.55
"RARG",795.67,838.95,834.5,794.82
"PFDN5",1351.89,1343.78,1261.11,1299.34
"EFNB2",607.95,563.89,587.92,598.7
"RRP15",362.37,353.24,373.99,371.28
"RND2",242.82,228.73,233.47,254.82
"SRR",193.07,192.71,207.34,185.3
"SYNC",4.61,3.69,3.49,2.3
"FNDC5",0,0.56,0.5,0
"ACP5",0,0,0,0
"CNN1",1.79,1.12,0.5,1.72
"FBXO9",159.8,161.15,144.11,165.4
"VPS50",667.62,724.76,668.2,687.72
