"Gene.names","mIMCD_1","mIMCD_2","mIMCD_3","mIMCD_4"
"GNAI3",3736.84192100082,3611.99821264728,3739.19071602523,3665.43776287596
"PBSN",0,0,0,0
"CDC45",1423.85149950415,1391.86943505344,1346.62726260267,1388.6452817288
"H19",41.7424090681972,19.6869792793981,40.6406672475903,43.3592716172557
"SCML2",0,0,0,0
"APOH",0.512176798382787,0,0,0.287147494154012
"NARF",927.040005072845,894.913829529209,906.311812545957,955.339713050397
"CAV2",1889.93238603249,1917.79302437451,1947.01208918057,1895.74775640478
"KLF6",1795.94794352924,1863.51321007559,1821.84880722787,1720.30063747668
"SCMH1",274.782852332365,269.430373566619,264.289001732796,267.621464551539
"COX5A",641.501439974441,647.139133169928,665.210430776509,710.402900537025
"TBX2",2.30479559272254,1.12497024453703,0.747987740753197,0.574294988308023
"TBX4",0,0,0,0
"ZFY2",0,0,0,0
"NGFR",0.256088399191394,0,0,0.287147494154012
"WNT3",0,0,0,0
"WNT9A",226.126056486001,201.650916333263,190.986203138983,218.806390545357
"FER",294.757747469294,289.96108052942,299.693754795114,344.576992984814
"XPO6",729.339760897089,741.917876272173,761.95017858059,725.047422738879
"TFE3",495.018875636964,504.267912113725,509.878309946762,506.528179687676
"AXIN2",0.512176798382787,0.562485122268516,0.498658493835464,0.861442482462035
"BRAT1",364.413792049353,370.677695574952,373.993870376598,354.627155280204
"GNA12",1287.25650825945,1171.57494934259,1239.65504250509,1322.34866827852
"SLC22A18",1.02435359676557,1.12497024453703,0.747987740753197,2.5843274473861
"ITGB2L",0.256088399191394,0,0.747987740753197,0.861442482462035
"IGSF5",634.415473968815,627.733396451664,585.514830291726,625.794891384545
"PIH1D2",34.0597570924554,35.1553201417822,31.1661558647165,33.8834043101734
"DLAT",737.534589671214,726.449535409788,728.789388740531,756.059352107512
"SDHD",1097.08270213593,1078.84646451101,1017.51265667127,1057.27707347507
"FGF23",0,0,0,0
"FGF6",0,0,0,0
"CCND2",0,0,0,0.861442482462035
"GPR107",1034.59713273323,1018.64930672584,1041.9469228692,1002.1447545975
"NALCN",0,0,0,0.287147494154012
"BTBD17",0,0,0,0
"SLFN4",0,0,0,0
"TH",0,0,0,0
