"Gene.names","X3d_wt_24h_1","X3d_wt_24h_2","X3d_wt_24h_3","X3d_wt_24h_4","X3d_wt_72h_1","X3d_wt_72h_2","X3d_wt_72h_3","X3d_wt_72h_4","X3d_wt_7d_1","X3d_wt_7d_2","X3d_wt_7d_3","X3d_wt_7d_4"
"GNAI3",2226.21876046977,2925.97021837004,2664.47400784556,2230.33161643478,3479.7833158336,2889.74318602583,2986.54219980268,3870.33885505594,3442.84596484729,2947.45462377703,3505.05342207643,3639.11765321531
"PBSN",0,0,0,0,0,0,0,0,0,0,0,0
"CDC45",700.940300320559,922.984393005546,804.540073615791,714.156689302855,801.272063026256,790.897672529181,858.205542296496,933.121864503292,1127.6714912843,902.8567726835,1497.74340964129,1196.15307322424
"H19",33.715262160681,23.8189520775625,15.1739098956429,31.5400430606939,8.75024093788423,8.4762322694801,12.4330196749016,12.1932439644713,52.7328395204887,10.6023547617879,139.607288436675,43.2899341182282
"SCML2",0,0,0,0,0,0,0,0,0,0,0,0
"APOH",0.33715262160681,0.940221792535361,0.645698293431614,0.643674348177427,0.312508604924437,0,0,1.35480488494126,0.67606204513447,0.662647172611743,0.606988210594239,0.307020809349136
"NARF",477.74526481685,482.647186834819,428.420817691876,389.744817821432,415.636444549501,440.112060146082,427.630439870957,566.308441905446,756.851459528039,561.924802374758,759.038757348096,770.008189847634
"CAV2",451.447360331519,427.174101075232,525.275561706618,451.859392420553,829.08532886453,644.193652480487,745.653995765808,916.525504662762,1027.95233962696,975.08531449818,1184.53749297466,1196.46009403358
"KLF6",682.734058753791,985.352438577058,834.242195113645,676.501739934475,1405.66370495012,748.190502248339,903.357034800086,1285.70983580926,1003.95213702469,707.375856763035,829.752883882325,977.247236158301
"SCMH1",339.175537336451,411.50373786631,392.584562406421,428.687115886166,308.133484455495,371.650184123358,353.359506549835,325.830574828373,382.313086523543,402.226833775328,348.71472698639,361.056471794584
"COX5A",838.498569936137,737.447292611902,799.051638121623,639.490464914273,764.396047645172,728.629966241847,780.662761692505,763.771253885635,659.160494006108,618.581135633062,818.220107881034,637.989241827505
"TBX2",12.1374943778452,19.4312503790641,16.1424573357904,27.0343226234519,9.06274954280866,11.410312670454,5.56214038087703,5.41921953976504,7.09865147391193,10.9336783480938,5.15939979005103,6.44743699633186
"TBX4",0,0,0.968547440147421,0,0,0,0,0,0,0,0,0
"ZFY2",0,0,0,0,0,0,0,0,0,0,0,0
"NGFR",0,0.626814528356907,1.29139658686323,1.28734869635485,0.312508604924437,0,1.9631083697213,0,0.338031022567235,0,0,0
"WNT3",1.34861048642724,1.56703632089227,0.968547440147421,0,0.312508604924437,0,0,0,0,0.662647172611743,0.30349410529712,0
"WNT9A",181.050957802857,295.85645738446,265.704847747109,261.975459708213,133.441174302734,118.667251772721,110.915622889254,105.674781025418,108.169927221515,66.5960408474801,132.626924014841,105.308137606754
"FER",164.193326722517,185.850507657823,159.487478477609,116.826894194203,219.06853205203,207.667690602262,206.126378820737,244.203580510662,248.790832609485,208.071212200087,222.157685077492,257.897479853275
"XPO6",733.306951994812,786.965640352097,780.972085905537,747.305918233992,894.399627293738,927.495415641187,972.065827740332,951.750431671235,837.302842899041,754.755129604775,758.735263242799,877.158452310483
"TFE3",582.262577514961,665.050214586679,596.302373984096,569.329960962934,697.831714796267,715.589608904185,695.267547609628,659.451277745158,614.202368004666,648.40025840059,531.114684269959,602.681848752355
"AXIN2",6.4058998105294,2.82066537760608,4.5198880540213,9.01144087448397,5.00013767879099,2.28206253409079,2.61747782629507,3.72571343358846,2.02818613540341,5.30117738089394,0.606988210594239,1.84212485609482
"BRAT1",322.317906256111,438.456762585657,404.20713168819,419.353837837593,365.635067761591,419.899506272706,376.262437529916,365.119916491669,420.172561051073,428.401397093492,322.614233930838,374.565387405946
"GNA12",1096.22477694482,1498.27163305887,1141.50095653455,1129.00480670321,1253.41263771698,1237.39624768138,1342.33751289532,1313.76784497639,1324.32441897301,1301.99898387032,1320.04761098982,1302.24718410292
"SLC22A18",6.06874718892259,7.83518160446134,21.3080436832433,3.86204608906456,2.81257744431993,0.978026800324626,5.56214038087703,2.3709085486472,3.71834124823959,5.63250096719981,3.94542336886255,4.91233294958618
"ITGB2L",0.33715262160681,3.76088717014144,1.93709488029484,0.643674348177427,2.18756023447106,1.63004466720771,0,1.35480488494126,4.05637227080682,0.662647172611743,0.30349410529712,2.76318728414223
"IGSF5",606.200413649045,698.898199117952,725.764881817134,765.650637157049,667.830888723521,647.453741814903,635.719927061415,567.324545569152,530.032643385425,635.147314948355,595.455434592949,458.382068358261
"PIH1D2",25.2864466205108,28.5200610402393,22.5994402701065,27.3561597975406,33.7509293318392,25.7547057418818,25.8475935346638,24.725189150178,24.3382336248409,19.2167680057405,17.9061522125301,19.6493317983447
"DLAT",398.177246117643,471.051118060216,417.443946703539,368.181727157488,414.698918734727,376.540318124981,458.058619601637,523.293386808561,516.849433505302,455.569931170573,534.453119428228,578.427204813773
"SDHD",938.295745931753,797.308080069986,773.546555531074,824.868677189372,775.958866027376,811.76224426944,868.34826887339,779.35151006246,754.485242370068,763.700866435034,933.244373788643,758.341399092367
"FGF23",0,0.313407264178454,0.322849146715807,0,0,0,0,0,0,0,0,0.307020809349136
"FGF6",0,0,0,0,0,0,0,0,0,0,0,0
"CCND2",0,0,0,0,0,0,0,0,0,0,0,1.53510404674568
"GPR107",536.072668354828,757.818764783501,724.150636083555,626.616977950725,715.64470527696,712.003510636328,709.336490925964,726.175418328515,697.696030578773,869.061766880301,644.014491440488,695.095112366445
"NALCN",0,0,0,0,0,0,0,0,0,0,0,0
"BTBD17",4.72013670249534,3.44747990596299,0,1.60918587044357,0,1.95605360064925,0.654369456573768,1.01610366370594,4.05637227080682,7.95176607134091,5.46289389534815,3.99127052153877
"SLFN4",1.68576310803405,0,0,0,0,0,0,0,0,0,0,0
"TH",0,0,0,0,0,0,0,0,0,0,0,0
"INS2",0,0,0,0,0,0,0,0,0,0,0,0
"SCNN1G",3.70867883767491,5.95473801939062,8.07122866789518,4.50572043724199,2.81257744431993,1.63004466720771,4.90777092430326,3.38701221235315,26.0283887376771,24.8492689729404,41.5786924257054,27.6318728414223
"DRP2",9.7774260265975,12.2228833029597,11.2997201350532,15.4481843562582,5.93766349356429,6.52017866883084,9.81554184860651,6.7740244247063,7.43668249647917,4.6385302082822,4.24891747415967,7.06147861503014
"TSPAN32",0,1.88044358507072,0.645698293431614,0,0,0,0,0,0.338031022567235,0.662647172611743,0,0
"LHX2",3.03437359446129,10.342439717889,6.45698293431614,12.2298126153711,11.2503097772797,5.86816080194776,7.52524875059833,5.41921953976504,5.746527383643,9.2770604165644,4.55241157945679,4.60531214023704
"CLEC2G",0,0,0,0,0,0,0,0,0,0,0,0
"GMPR",210.38323588265,188.984580299608,181.441220454284,179.263305967413,158.441862696689,181.586975926939,201.54579262472,159.866976423069,292.058803498091,240.540923658063,398.487760255118,287.371477550792
"GLRA1",0,0,0,0,0,0,0,0,0,0,0,0
"MID2",113.957586103102,191.805245677214,174.984237519967,159.309401173913,237.194031137647,220.708047939924,194.347728602409,321.766160173549,279.889686685671,266.715486976226,211.535391392092,323.59993305399
"TRIM25",905.591941635893,1215.07996321986,1070.56777050962,933.00596768318,1074.09207512529,1033.12231007625,973.374566653479,1195.9540121819,1323.72948437329,1086.07871591065,1267.69487782607,1415.36593109952
"DGKE",100.134328617223,155.450003032513,168.204405438935,171.217376615195,348.447094490747,281.345709560051,206.453563549024,240.139165855838,175.438100712395,241.53489441698,98.3320901162667,158.422737624154
"SCPEP1",1171.94251270527,1759.46838109784,1745.96818543908,1436.35930795793,1653.17052005027,1518.5496119707,1569.17795686389,1780.89102125529,2128.24331808331,2174.14537333913,2437.96814785176,2158.66331053378
"MNT",454.48173392598,563.50626099286,541.418019042408,476.640854825384,653.768001501921,719.175707172042,528.076151455031,570.37285656027,730.147008745228,718.640858697435,658.582208494749,696.63021641319
"ITGB2",7.08020505374302,5.64133075521217,4.84273720073711,4.18388326315327,2.81257744431993,1.30403573376617,4.58058619601637,5.08051831852972,4.73243431594129,5.96382455350569,5.46289389534815,3.07020809349136
"HDDC2",360.753305119287,221.892343038345,246.333898944161,242.987066436979,210.318291114146,202.777556600639,202.200162081294,184.592165573247,193.353744908458,207.07724144117,259.18396592374,202.63373417043
"TPD52L1",160.484647884842,176.761696996648,135.273792473923,170.895539441107,129.066053833792,133.989671644474,159.993332132286,137.173994600303,111.888268469755,120.270461829031,151.443558543263,116.360886743323
"PEMT",38.7725514847832,31.3407264178454,39.3875958993285,46.6663902428634,29.0633002579726,43.6851970811666,54.9670343521965,35.9023294509434,28.732636918215,27.8311812496932,19.4236227390157,23.9476231292326
"CDH1",2166.20559382376,2628.23331740051,2960.52667538395,2212.30873468582,3528.53465820181,3386.2547916573,3234.87540857242,3716.56850061511,4432.93882994672,4606.39182041053,3875.31623053892,4757.90148248357
"CDH4",0,0,0,0,0,0,0,0,0,0,0,0
"CKMT1",9.44027340499069,6.89495981192598,9.3626252547584,9.01144087448397,0.93752581477331,1.63004466720771,2.29029309800819,6.43532320347098,7.43668249647917,3.97588303567046,4.85590568475391,7.06147861503014
"BCL6B",1.34861048642724,2.19385084924918,0.322849146715807,2.89653456679842,1.87505162954662,2.60807146753234,0,5.75792076100035,1.35212409026894,0.993970758917614,0,3.68424971218964
"CLEC10A",0,0,0,0,0,0,0,0,0,0,0,0
"ALOX12",0,0.626814528356907,1.29139658686323,0,0.625017209848873,1.95605360064925,0,1.01610366370594,0.338031022567235,0.331323586305871,0,0.307020809349136
"COMT",1192.08063879385,1605.81733576171,1422.67673539228,1407.69648923359,1484.95338819154,1600.05836550976,1520.59429656058,1429.21754324666,1392.90753314168,1640.29361843207,1434.31314163419,1333.21944335006
"RTCA",789.456349597211,652.611080271436,662.247540692267,564.135508973142,672.662271755653,674.981936154707,747.895211154573,678.171294242834,596.908700890126,682.917549621936,631.980950165457,575.621034616322
"DBT",119.352028048811,221.265528509988,176.598483253546,145.14856551401,284.695339086162,236.030467811677,249.314762954605,369.184331146493,373.524279936795,326.022408924977,303.190611191822,405.881509959558
"DAZAP2",2314.88989995236,2452.09843493222,2555.67384540233,2537.04244334133,2663.19833116605,2296.73293609566,2661.32057988551,2398.6820487885,2969.60253325316,2940.1655048783,4173.65093604599,3388.28165197707
"MCTS1",55.2930299435169,73.3372998177582,70.7039631307617,61.7927374250329,79.3771856508069,66.1798134886331,78.851519517139,81.9656955389462,71.3245457616866,61.9575106391979,68.589667797149,72.4569110063962
"REM1",0,0,0,0,0,0,0,0,0,0,0,0
"RNF17",0,0,0,0,0,0,0,0,0,0,0,0
"TRAPPC10",691.500026915568,971.875926217385,892.032192375775,714.156689302855,1065.3418341874,1074.19943568988,966.830872087742,1216.95348789849,1276.74317223645,1113.24724998773,1088.32986159547,1277.51358770176
"CCM2",980.102671010998,822.380661204262,806.15431934937,913.052062889679,661.268208020108,756.666734517819,918.73471702957,698.063216965984,651.047749464495,706.713209590424,773.606474402358,577.506142385726
"WAP",0,0,0,0,0,0,0,0,0,0,0,0
"TBRG4",605.526108405831,558.805152030183,564.663157605947,642.065162306983,723.457420400071,708.417412368471,720.460771687718,681.805558346689,520.567774753542,545.68994664577,443.404887839092,502.286044095187
"TMPRSS2",460.213328493296,641.858077037473,785.814823106274,629.835349691612,617.204494725762,657.886027685032,588.932510916391,573.082466330153,792.344716897599,888.941182058653,840.678671673021,797.026021070358
"MX1",0,0,0,1.28734869635485,0.93752581477331,0,0,0,0,0,0,0
"FAP",0.674305243213621,0.940221792535361,1.93709488029484,0.643674348177427,1.56254302462218,0.326008933441542,0,1.35480488494126,1.69015511283618,0.331323586305871,0,2.45616647479309
"GCG",0,0,0,0,0,0,0,0,0,0,0,0
