"Gene.names","POD","PEC","PT_S1_S2","PT_S3","DTL1","ATL","M_TAL","C_TAL","DCT1","DCT2","CNT","CNT_PC","CNT_IC_A","CCD_PC","IC_A","IC_B","PC","IMCD","FIB","MYOF","VSMC","VSMC_P","MON","ncMON","MDC","MAC_M2","MAST","NK1","NKT","T","T_CYT","B","PL","EC_AVR","EC_AEA","EC_PTC","EC_GC","EC_LYM","MC","REN"
"MIR1302-2HG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL627309.1",0,0,0.190705091072647,0.271977480264634,0.448748692318264,0.825474229048344,0.312231870880881,0.274614716315828,0.192916492238005,0.757504024240129,0.243145130897181,0,0.323515186611648,0.29534711629721,0.138887538593375,0,0.12762745036728,0.291799940210192,0,0,0,0.46249340368783,0.215450423887936,0,0.428859361683582,0.851290236765097,0,0,0,0.061253656537027,0,0.223516282155332,0,0.541029806955155,0,0.365959273490331,0.591529766960933,0,0,0
"AL627309.5",1.49075286000936,2.12934719538358,0.190705091072647,0.271977480264634,1.12187173079566,0.471699559456196,0.546405774041542,0.793331402690168,0,1.13625603636019,0.486290261794362,0.278126594882193,0.970545559834943,1.03371490704023,0.833325231560249,0,2.29729410661104,4.66879904336308,0,0,0,0.92498680737566,4.09355805387079,1.83610217541386,2.68037101052239,0.851290236765097,0,0.446574705026243,0.644820991244621,0.735043878444324,0,0.670548846465995,0,0,0.578407303433339,0.731918546980662,0,1.11384622239054,0,0
"AP006222.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC114498.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01409",1.49075286000936,8.5173887815343,1.81169836519014,4.35163968423415,6.39466886553526,8.01889251075534,6.71298522393894,6.62126593783718,4.0512463369981,7.95379225452135,6.32177340332671,4.17189892323289,8.41139485190284,5.90694232594419,5.83327662092174,4.10566897085933,7.40239212130223,8.75399820630577,3.86589219959601,4.11592644016266,13.5214314688782,7.86238786269311,4.09355805387079,9.18051087706929,7.93389819114626,8.51290236765097,7.5945137232863,7.59176998544613,6.1257994168239,5.69659005794351,4.24710377858756,6.03493961819396,0.787768786710025,5.9513278765067,8.38690589978342,7.31918546980662,10.0560060383359,10.0246160015148,7.69897026272736,0
"FAM87B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646351271663809,0,1.17936324462985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01128",8.94451716005617,5.32336798845894,4.86297982235249,10.3351442500561,6.61904321169439,5.54246982361031,6.71298522393894,6.31613847526403,4.62999581371212,4.54502414544077,8.02378931960698,6.11878508740824,7.44084929206789,5.61159520964698,4.99995138936149,2.73711264723955,5.87086271689487,8.75399820630577,15.4635687983841,24.695558640976,22.535719114797,5.08742744056613,5.17081017331048,7.34440870165543,28.3047178711164,14.4719340250067,0,5.80547116534116,4.51374693871234,7.47294609751729,5.46056200104115,7.37603731112595,4.72661272026015,4.32823845564124,8.96531320321675,8.60004292702278,13.6051846401015,7.79692355673376,0,0
"LINC00115",4.47225858002809,1.06467359769179,0.762820364290586,0.271977480264634,1.68280759619349,1.17924889864049,1.63921732212463,1.49512456660839,1.35041544566603,1.89376006060032,1.45887078538309,2.50313935393973,1.61757593305824,1.32906202333744,0.694437692966874,2.73711264723955,2.04203920587648,4.08519916294269,1.93294609979801,1.37197548005422,0,3.23745382581481,1.07725211943968,1.83610217541386,3.53808973388955,2.12822559191274,0,0.446574705026243,1.28964198248924,1.71510238303676,3.03364555613397,1.56461397508732,0,1.62308942086546,1.73522191030002,2.74469455117748,3.5491786017656,3.34153866717161,0,0
"FAM41C",1.49075286000936,3.19402079307536,2.19310854733544,1.35988740132317,2.58030498083002,2.24057290741693,1.95144919300551,1.46461182035108,1.54333193790404,1.51500804848026,1.70201591628027,3.05939254370412,2.26460630628153,0.886041348891629,0.972212770153624,4.10566897085933,3.44594115991656,2.04259958147135,0,4.11592644016266,0,1.38748021106349,1.72360339110349,5.50830652624157,2.2515116488388,1.70258047353019,0,1.78629882010497,1.61205247811155,2.38889260494405,1.82018733368038,1.78813025724265,0.787768786710025,1.08205961391031,2.60283286545003,1.28085745721616,0.591529766960933,2.22769244478107,0,0
