"Gene.names","Podo","PT.A","PT.B","PT.C","DL","tAL","TAL","DCT","CNT","PC","IC.PC","IC.A","IC.B","vSMC","Mono","Macro","NKcell","Tcell","Bcell","AVR","AEA.DVR","GC","Peri","Mesangial"
"RP11-34P13.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374634965055924,0,0,0,0
"FAM138A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-34P13.7",0,0,0,0,1.46898099726182,1.66572969371395,1.24766297129689,0,0.740468687060162,0,0.910368459495735,0.164939937946297,0,0,0,0,4.51375567040556,0,0,0.374634965055924,0.467166160725715,1.42594158487703,0,0
"RP11-34P13.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-34P13.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-34P13.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FO538757.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FO538757.2",298.080362465721,12.5603312441316,24.6366878184213,21.2181211688728,17.6277719671418,26.6516750994232,21.6261581691461,22.0363441291908,31.840153543587,23.0563497187125,30.0421591633592,15.6692941048982,56.4917739286118,21.2275665896971,5.09506542913189,13.1176334132358,36.1100453632445,20.7451125811328,14.9354043760735,19.481018182908,28.4971358042686,34.2225980370488,18.9686732361505,7.84960163271714
"AP006222.2",39.7440483287628,13.7138310522661,14.5293287134279,13.4009186329723,19.0967529644037,28.3174047931372,11.4369105702215,7.23067541739074,14.8093737412032,15.7202384445767,12.7451584329403,10.7210959665093,13.036563214295,42.4551331793942,5.09506542913189,8.28482110309631,27.0825340224334,10.3725562905664,44.8062131282204,11.6136839167336,20.5553110719314,24.2410069429096,28.4530098542257,15.6992032654343
"RP5-857K21.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-669L17.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-669L17.10",0,0.384499936044844,0.631709944062084,4.46697287765743,2.93796199452364,1.66572969371395,0.831775314197926,2.06590726211164,0,0,1.51728076582622,1.31951950357037,0,4.71723701993268,3.39671028608792,0.690401758591359,0,2.5931390726416,0,1.12390489516777,2.33583080362857,1.42594158487703,2.37108415451881,0
"OR4F29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP5-857K21.4",0,0.256333290696563,0,0,0,0,0,0,0.740468687060162,0,0,0.164939937946297,0,0,0,0,0,0,0,0,0,0,0,0
"RP5-857K21.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-206L10.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-206L10.9",0,1.53799974417938,6.94880938468293,3.35022965824307,4.40694299178546,2.91502696399942,6.65420251358341,2.41022513913025,5.18328080942113,2.09603179261023,5.15875460380916,5.27807801428149,0,10.6137832948485,1.69835514304396,2.76160703436544,4.51375567040556,7.77941721792481,14.9354043760735,2.62244475539147,0.934332321451429,6.41673713194665,4.74216830903762,15.6992032654343
"FAM87B",0,0,0,0,0,0,0,0,0,0,0,0,0,1.17930925498317,0,0,0,0,0,0,0,2.13891237731555,0,0
"LINC00115",0,1.15349980813453,4.42196960843459,4.46697287765743,2.93796199452364,5.41362150457035,2.07943828549482,1.03295363105582,2.22140606118048,7.33611127413581,4.55184229747867,2.14421919330186,4.34552107143168,4.71723701993268,6.79342057217585,7.59441934450495,18.0550226816222,2.5931390726416,0,2.62244475539147,6.07316008943429,7.12970792438517,7.11325246355644,0
"FAM41C",0,12.4321645987833,4.42196960843459,2.23348643882872,10.2828669808327,9.57794573885523,2.91121359969274,2.06590726211164,4.44281212236097,10.4801589630512,3.64147383798294,3.79361857276482,4.34552107143168,9.43447403986537,5.09506542913189,6.90401758591359,4.51375567040556,0,14.9354043760735,3.37171468550331,3.27016312508,1.42594158487703,0,0
"RP11-54O7.16",0,0,0,0,0,0,0,0,2.22140606118048,0,0.303456153165245,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.1",0,0,0,0,0,0.416432423428488,0,0,1.48093737412032,1.04801589630512,1.51728076582622,0,4.34552107143168,0,0,0,0,0,0,0,0,0.712970792438517,0,0
"RP11-54O7.2",0,0,0,0,0,0,0,0,0.740468687060162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,0.256333290696563,0,2.23348643882872,0,0.416432423428488,0,0.688635754037213,2.22140606118048,2.09603179261023,2.12419307215671,0.164939937946297,0,4.71723701993268,0,0,0,0,0,0.374634965055924,0.467166160725715,0,0,15.6992032654343
"SAMD11",59.6160724931442,0.640833226741407,3.15854972031042,17.8678915106297,2.93796199452364,9.16151331542674,0.831775314197926,4.82045027826049,14.8093737412032,18.8642861334921,10.6209653607836,0.824699689731483,0,40.0965146694278,0,0,0,0,0,3.74634965055924,5.13882776798286,2.13891237731555,9.48433661807525,0
"NOC2L",59.6160724931442,9.35616511042454,55.5904750774634,61.4208770677897,38.1935059288073,32.4817290274221,20.3784951978492,26.5124765304327,20.7331232376845,25.1523815113228,28.8283345506983,35.1322067825612,26.0731264285901,36.5585869044783,6.79342057217585,14.4984369304185,36.1100453632445,18.1519735084912,14.9354043760735,25.8498125888587,29.43146812572,35.6485396219258,21.3397573906693,86.3456179598885
"KLHL17",0,0.256333290696563,0.631709944062084,1.11674321941436,0,0.832864846856976,1.66355062839585,1.37727150807443,0,1.04801589630512,0.910368459495735,0.989639627677779,0,0,0,0.690401758591359,0,0,0,0.749269930111847,1.40149848217714,2.13891237731555,0,0
"PLEKHN1",0,0,16.4244585456142,0,4.40694299178546,9.99437816228371,0.207943828549482,1.03295363105582,3.70234343530081,3.14404768891535,0.910368459495735,0.659759751785186,4.34552107143168,0,0,0,0,5.18627814528321,0,0.374634965055924,0.467166160725715,1.42594158487703,0,0
"PERM1",0,0,0,0,2.93796199452364,0.416432423428488,0.831775314197926,1.72158938509303,0,2.09603179261023,0,0.164939937946297,0,3.53792776494951,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",0,0.384499936044844,12.6341988812417,4.46697287765743,5.87592398904728,2.08216211714244,1.45560679984637,1.03295363105582,5.18328080942113,8.38412717044092,2.12419307215671,0.164939937946297,0,4.71723701993268,3.39671028608792,4.83281231013952,0,0,0,6.3687944059507,3.73732928580572,2.13891237731555,7.11325246355644,0
"HES4",39.7440483287628,9.99699833716594,854.703554316,219.998414224628,320.237857403077,166.989401794824,25.5770909115862,4.82045027826049,62.1993697130536,194.930956712751,83.1469859672771,19.2979727397167,13.036563214295,610.882194081283,394.018393186199,89.0618268582854,94.7888690785168,33.7108079443409,0,103.399250355435,188.267962772463,85.556495092622,310.612024241964,7.84960163271714
"ISG15",238.464289972577,54.7271575637161,177.510494281446,34.6190398018451,715.393745666506,149.499240010827,56.976609022558,7.23067541739074,54.794682842452,520.863900463642,65.2430729305277,51.1313807633519,69.5283371429068,976.468063126066,1168.46833841425,433.572304395374,695.118373242456,280.059019845293,104.547830632514,699.068844794353,1132.41077359913,616.719735459317,538.23610307577,863.456179598885
"RP11-54O7.11",0,0,0,0,0,0,0,0.344317877018607,0,0,0,0,0,0,0,0,0,0,0,0,0.467166160725715,0,0,0
